firstName,lastName,email,enrollmentDate
John,Doe,john.doe@example.com,2026-01-15
Jane,Smith,jane.smith@example.com,2026-01-20
Alice,Johnson,alice.johnson@example.com,2026-02-10
Bob,Brown,bob.brown@example.com,2026-02-15
Charlie,Davis,charlie.davis@example.com,2026-03-01
Diana,Miller,diana.miller@example.com,2026-03-05
Evan,Wilson,evan.wilson@example.com,2026-03-12
Fiona,Moore,fiona.moore@example.com,2026-03-20
George,Taylor,george.taylor@example.com,2026-04-01
Hannah,Anderson,hannah.anderson@example.com,2026-04-10
